id,latitude,longitude,city,
1,51.5072759,-0.1276597,London,
2,-41.2870685,174.7810335,Wellington,
3,51.0623551,-1.3140919,Winchester,
4,-26.9113112,-48.6708521,ItajaÌ_,
5,50.9035305,-1.4041996,Southampton,
6,53.7974185,-1.5437941,Leeds,
7,53.3820287,-1.4657174,Sheffield,
8,37.9841493,23.7279843,ëÔëüë¨ë_ë±,
9,33.8498458,-116.5378612,Palm Springs,
10,34.0502836,-118.2420861,Los Angeles,
11,39.2810502,-76.567903,Baltimore,
12,51.3813864,-2.3596963,Bath,
13,46.0544459,14.5046117,Ljubljana,
14,53.1908873,-2.8908955,Chester,
15,50.4120332,4.4436244,Charleroi,
16,34.6735636,33.0423629,Limassol,
17,34.9173073,33.6373765,Larnaca,
18,52.6367811,-1.1312289,Leicester,
19,53.2343427,-0.5370209,Lincoln,
20,55.861147,-4.2499891,Glasgow,
21,52.6285753,1.292222,Norwich,
22,51.7521553,-1.2582135,Oxford,
23,55.6867239,12.570069,KÌübenhavn,
24,-33.8548157,151.2164539,Sydney,
25,14.6801169,121.0599706,Quezon City,
26,51.4580216,-0.9673727,Reading,
27,56.0441984,12.7040684,Helsingborg,
28,51.2084734,-2.6517961,Wells,
29,51.5677333,-1.796741,Swindon,
30,18.9387038,72.8353711,Mumbai ˆ_¨ˆ´ˆ_âˆ_Âˆ_ö,
31,28.6092825,77.2173711,New Delhi (ˆ_¬ˆ_ö ˆ__ˆ_Àˆ__ˆ´ˆ__ˆ´Û),
32,18.5205417,73.8545579,Pune (ˆ_»ˆ´ˆ_£ˆ´à),
33,33.6946934,73.0629505,Islamabad,
34,31.5621916,74.3228517,Lahore,
35,34.1420882,-118.25057,Glendale,
36,34.1134446,-118.1477834,South Pasadena,
37,34.0930855,-118.1279002,Alhambra,
38,34.1438396,-118.1290095,Pasadena,
39,34.1819538,-118.3079649,Burbank,
40,-31.912864,152.4608481,Taree,
41,49.598038,11.0037436,Erlangen,
42,48.2084672,16.3730907,Wien,
43,51.0621881,3.7102089,Gent,
44,50.8465142,4.351733,Bruxelles - Brussel,
45,51.2082896,3.2260109,Brugge,
46,46.0762962,18.228147,PÌ©cs,
47,50.8065249,-1.0744016,Portsmouth,
48,48.1372719,11.5754815,MÌ_nchen,
49,48.8564528,2.3524282,Paris,
50,51.8629188,-2.2466485,Gloucester,
51,50.720157,-1.8747048,Bournemouth,
52,50.7152124,-1.9832693,Poole,
53,52.4080477,-1.5113334,Coventry,
54,52.4813679,-1.8980726,Birmingham,
55,55.9483399,-3.1932723,Edinburgh,
56,51.2800275,1.0802533,Canterbury,
57,52.0580055,1.1528082,Ipswich,
