id,name
1,Ester
2,Two Rivers
3,Afognak
4,Aguikchuk
5,Aiaktalik
6,Akhiok
7,Akiachak
8,Akiak
9,Akulurak
10,Akulurak
11,Akumsuk
12,Alakanuk
13,Alatna
14,Aleknagik
15,Aleksashkina
16,Aleut Village
17,Alexander
18,Alexanders Village
19,Allakaket
20,Anaktuvuk Pass
21,Anchorage
22,Anderson
23,Saint Marys
24,Aniak
25,Anogok
26,Anvik
27,Apokak
28,Arctic Village
29,Artesian Village
30,Auke Bay
31,Aurora
32,Aurora Lodge
33,Baker
34,Barrow
35,Bearpaw
36,Beaver
37,Bethel
38,Big Delta
39,Big Lake
40,Bill Moores
41,Birch Creek
42,Birches
43,Birchwood
44,Black
45,Bluff
46,Bluff
47,Bonibrook
48,Broadmoor
49,Browerville
50,Campbell
51,Cantwell
52,Cape Nome
53,Cape Yakataga
54,Caro
55,Casadepaga
56,Caswell
57,Central
58,Chakaktolik
59,Chalkyitsik
60,Chandalar
61,Chaniliut
62,Chariot
63,Charlieskin Village
64,Chatanika
65,Chefornak
66,Chelatna Lodge
67,Chena Hot Springs
68,Chevak
69,Chickaloon
70,Chicken
71,Chignik
72,Chignik Lagoon
73,Chisana
74,Chistochina
75,Chitina
76,Christian
77,Chuathbaluk
78,Chugiak
79,Chulitna
80,Circle
81,Clarks Point
82,Coal Creek
83,Colorado
84,Copper Center
85,Cos Jacket
86,Cottonwood
87,Council
88,Crooked Creek
89,Curry
90,Dahl
91,Davidsons Landing
92,DeBarr Vista
93,Delta Junction
94,Denali
95,Dennis Manor
96,Difjakamiut
97,Dillingham
98,Dime Landing
99,Diomede
100,Discovery
101,Dobson Landing
102,Dogfish Village
103,Dogpatch
104,Donnelly
105,Dot Lake
106,Douglas
107,Eagle
108,Eagle River
109,Eagle Village
110,East Fork
111,Eek
112,Egavik
113,Egegik
114,Eklutna
115,Ekuk
116,Ekwok
117,Elfin Cove
118,Elim
119,Emmonak
120,Eska
121,Eureka
122,Eureka Roadhouse
123,Evansville
124,Excursion Inlet
125,Fairbanks
126,Fairhaven
127,Fish Lake
128,Fish Village
129,Fish Village
130,Flat
131,Flume Creek
132,Folger
133,Fort Richardson
134,Fort Yukon
135,Fox
136,Funter
137,Gakona
138,Gakona Junction
139,Galena
140,Gambell
141,Ganes Creek
142,Garner
143,Georgetown
144,Glennallen
145,Gold Creek
146,Golovin
147,Gordon
148,Gost Creek
149,Grant Creek
150,Grayling
151,Gulkana
152,Gustavus
153,Hallersville
154,Hamilton
155,Hamilton Acres
156,Hawk Inlet
157,Haycock
158,Healy
159,Hogatza
160,Holikachuk
161,Holy Cross
162,Hoonah
163,Hooper Bay
164,Hughes
165,Huslia
166,Iditarod
167,Igiugig
168,Igushik
169,Iliamna
170,Ingrihak
171,Iron Creek
172,Jack Wade
173,Johnnys Village
174,Jonesville
175,Juneau
176,Kaguyak
177,Kakamut
178,Kokhanok
179,Kako Landing
180,Kaktovik
181,Kallands
182,Kalskag
183,Kaltag
184,Kanapak
185,Kantishna
186,Karluk
187,Kasaan
188,Kashegelok
189,Kashiagamiut
190,Kasigluk
191,Kazhutak
192,Kechumstuk
193,Kennicott
194,Kinegnak
195,King Salmon
196,Wales
197,Kipnuk
198,Klikitarik
199,Knik
200,Kodiak
201,Koggiung
202,Kokrines
203,Kokruagarok
204,Koliganek
205,Kongiganak
206,Kotlik
207,Koyuk
208,Koyukuk
209,Kravaksarak
